name,timestamp,status,persona,categories,location,language,description,sponsored,ID
Lass uns an einen See fahren,2023-11-19,ACTIVE,Schwimmer,"schwimmen, grillen, sonne",,de,,True,DIgcCzb0Gllo1g4U7Xcj
Lass uns ins Planetarium gehen,2023-11-19,ACTIVE,Träumer,"sterne, wissenschaft, kino",,de,,True,Hu7MpXMBSVbfzh4xZPJJ
Lass uns Tennis spielen,2023-11-19,ACTIVE,Sportler,"tennis, sport, fitness",,de,,True,5uieyvOpSC17XHiagYQ1
Lass uns ins Theater gehen,2023-11-19,ACTIVE,Akademiker,"theater, kultur, oper",,de,,True,SzFHZzupJDcdsuECFwm3
Lass uns Kaffee rösten,2023-11-19,ACTIVE,Hipster,"kaffee, handwerk, kochen",,de,,True,xvY0fHYVXLnvMoARWRby
Lass uns zu einer Weinprobe gehen,2023-11-19,ACTIVE,Vinzer,"wein, trinken, lernen",,de,,True,mvBwiVkaVvbcxer12IT6
Lass uns einen Kochkurs machen,2023-11-19,ACTIVE,Köche,"kochen, essen, lernen",,de,,True,W7KJUBU0jldzLiEsHAlY
Lass uns ins tanzen gehen,2023-11-19,ACTIVE,Partymäuse,"tanzen, techno, feiern",,de,,True,oS0Y8hFf0TEDJQIdNRCM
Lass uns ein Startup gründen,2023-11-19,ACTIVE,Gründer,"startup, tech, gründen",,de,,True,xwqhr7tArAFbCTLToq3J
Lass uns ein Türkisch-Deutsch Tandem machen,2023-11-19,ACTIVE,Sprachen,"sprachen, tandem, türkisch, deutsch",,de,,True,VuDlQEmXPWpS3In3yYbH
Lass uns eine Kommune gründen,2023-11-19,ACTIVE,Hippies,"kommune, wg, wohnraum, gemeinschaft",,de,,True,DKgKZ79vPh50u8TwqBOx
Lass uns Karl Marx lesen,2023-11-19,ACTIVE,Linke,"karl, marx, lesen",,de,,True,TWe85I7jrpoCprwXg6e0
Lass uns Brettspiele spielen,2023-11-19,ACTIVE,Nerds,"brettspiele, spielen, kekse",,de,,True,I9EZa7hoD44wxJxqKwz2
Lass uns Limonade verkaufen,2023-11-19,ACTIVE,Gründer,"limonade, business, yolo",,de,,True,vifqArHe6UhEq5nmNJHI
Lass uns Donuts essen,2023-11-19,ACTIVE,Foodies,"donut, essen, kaffee",,de,,True,SRFwKJw8NcgfaWPCLEbY
Lass uns Rollschuh fahren,2023-11-19,ACTIVE,Hipster,"skating, rollschuhe, disco",,de,,True,MCG32MuilgCL6onDgTHP
Existential risk breakfast,2024-05-13,ACTIVE,,"existential risk, breakfast, ai safety",eagx utrecht,en,,True,CUPsJQcKRsElXTgOeGt8
Let’s do a giving game,2024-05-13,ACTIVE,,"effective giving, donations",eagx utrecht,en,,True,LNrnk4yYl2qK6FdDRS0S
Let’s talk to a stranger about donations,2024-05-13,ACTIVE,,"donations, discussion",eagx utrecht,en,,True,qykzpE5TBuT5e0tFrAYz
Berlin lunch,2024-05-13,ACTIVE,,"lunch, community, berlin",eagx utrecht,en,,True,44R514HFUImTITsxMIa4
Amsterdam meetup,2024-05-13,ACTIVE,,"amsterdam, community, sharing",eagx utrecht,en,,True,5nlJrsYJ54MzuaMqvlN4
Let’s practice forecasting,2024-05-13,ACTIVE,,"forecasting, game, rationality",eagx utrecht,en,,True,S2JdDTImgeyBn2PLlAUX
Board game night at a bar,2024-05-13,ACTIVE,,"beer, games, drinks",eagx utrecht,en,,True,ll2jToKtOzXKdZ4LxzrC
Let’s apply to effective jobs,2024-05-13,ACTIVE,,"career, accountability",eagx utrecht,en,,True,kTw2USb1Gv1plbnSK7qw
Let’s be accountability buddies,2024-05-13,ACTIVE,,"accountability, sharing",eagx utrecht,en,,True,YwvcpgmnmkUePrllYKpV
Let’s discuss the talk by xxx,2024-05-13,ACTIVE,,"discussion, talk",eagx utrecht,en,,True,y09NJ2zZ3stLaW8dIxSI
Let’s share vegan recipes,2024-05-13,ACTIVE,,"cooking, nutrition, personal development",eagx utrecht,en,,True,3Wvz7d4AQFc2Gcp5bzgL
Let’s share our productivity systems,2024-05-13,ACTIVE,,"personal development, productivity",eagx utrecht,en,,True,X3EJiSdGvxrcGiG3c8of
Let’s go for a run,2024-05-13,ACTIVE,,"exercise, jogging, fitness",eagx utrecht,en,,True,cbI62E7VNP78LOGoPnLV
Review a forum post idea,2024-05-13,ACTIVE,,"ea forum, discussion, feedback",eagx utrecht,en,,True,oabm0VDRdBpbSlmt4f6c
Let’s estimate the impact of our jobs,2024-05-13,ACTIVE,,"estimation, career",eagx utrecht,en,,True,MFeA2JgOBBKncPYlJWaP
Morning meditation,2024-05-13,ACTIVE,,"meditation, mental health",eagx utrecht,en,,True,9hBHGO5wyUgHdmAGRp67
Global health talk & walk,2024-05-13,ACTIVE,,"walk, global health",eagx utrecht,en,,True,19pYzIa3GC3gveAXKrbe
Queer coffee,2024-05-13,ACTIVE,,"queer, coffee",eagx utrecht,en,,True,ZTTHrJ2ZRcdmJOLzdzqn
